symptom_text,specialty,urgency,cleaned_text
Раптово почалося: періодичний ниючий біль у ділянці попереку,urologist,low,раптово почалося періодичний ниючий біль у ділянці попереку
"Сильно турбує те, що тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,сильно турбує те що тисне серце біль віддає в ліву руку та щелепу
"Скажіть, будь ласка, чому сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,скажіть будь ласка чому сухий кашель важко вдихнути повітря хрипи в легенях
"У немовляти температура 39, не збивається нурофеном",pediatrician,high,у немовляти температура 39 не збивається нурофеном
"Підкажіть, що робити, якщо втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,підкажіть що робити якщо втрата голосу сильний гавкаючий кашель і біль у горлі
"Підкажіть, що робити, якщо стара травма коліна ниє на зміну погоди",traumatologist,low,підкажіть що робити якщо стара травма коліна ниє на зміну погоди
"Допоможіть, страшна мігрень, таблетки не допомагають",neurologist,medium,допоможіть страшна мігрень таблетки не допомагають
"Підкажіть, що робити, якщо температура піднялася до 40, сильно знобить",therapist,high,підкажіть що робити якщо температура піднялася до 40 сильно знобить
"Відчуваю, що у сина болить вушко, плаче і тримається за голову",pediatrician,medium,відчуваю що у сина болить вушко плаче і тримається за голову
"Вже кілька днів сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,вже кілька днів сильний удар ліктя рука опухла і посиніла
"Підкажіть, що робити, якщо з'явилася лупа та свербіж голови",dermatologist,low,підкажіть що робити якщо з явилася лупа та свербіж голови
"У мене страшна мігрень, таблетки не допомагають",neurologist,medium,у мене страшна мігрень таблетки не допомагають
"Скажіть, будь ласка, чому сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,скажіть будь ласка чому сильна носова кровотеча яка йде вже півгодини
"Сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,сильний набряк повіки вискочив великий ячмінь
"Відчуваю, що фурункул запалився, набряк, гарячий на дотик",dermatologist,high,відчуваю що фурункул запалився набряк гарячий на дотик
"Підкажіть, що робити, якщо іноді покалює зліва в грудях під час ходьби",cardiologist,low,підкажіть що робити якщо іноді покалює зліва в грудях під час ходьби
"Допоможіть, різко почало випадати волосся, нігті ламаються",endocrinologist,low,допоможіть різко почало випадати волосся нігті ламаються
"Допоможіть, високий тиск 150 на 90, крутиться голова",cardiologist,medium,допоможіть високий тиск 150 на 90 крутиться голова
"Скажіть, будь ласка, чому прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,скажіть будь ласка чому прискорене серцебиття пульс 110 в стані спокою
"Підкажіть, що робити, якщо око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,підкажіть що робити якщо око сильно сльозиться і пече лопнули капіляри
У мого родича постійний шум у вухах і темніє в очах,neurologist,medium,у мого родича постійний шум у вухах і темніє в очах
"Підкажіть, що робити, якщо фурункул запалився, набряк, гарячий на дотик",dermatologist,high,підкажіть що робити якщо фурункул запалився набряк гарячий на дотик
Температура 37.2 і загальна слабкість,therapist,low,температура 37 2 і загальна слабкість
"Помітив кров у сечі, сильний біль у ділянці паху",urologist,high,помітив кров у сечі сильний біль у ділянці паху
"Скажіть, будь ласка, чому періодичний ниючий біль у ділянці попереку",urologist,low,скажіть будь ласка чому періодичний ниючий біль у ділянці попереку
"Підкажіть, що робити, якщо різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,підкажіть що робити якщо різко набрав вагу хоча дієта не змінювалася
"Скажіть, будь ласка, чому підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,скажіть будь ласка чому підозра на апендицит блювота живіт як дошка твердий
"У мого родича нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,у мого родича нестерпний біль у шлунку сильне отруєння та діарея
"Відчуваю, що прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,відчуваю що прискорене серцебиття пульс 110 в стані спокою
"Підкажіть, що робити, якщо страшна мігрень, таблетки не допомагають",neurologist,medium,підкажіть що робити якщо страшна мігрень таблетки не допомагають
"Скажіть, будь ласка, чому швидко втомлюються очі під час роботи за монітором",ophthalmologist,low,скажіть будь ласка чому швидко втомлюються очі під час роботи за монітором
"Відчуваю, що високий тиск 150 на 90, крутиться голова",cardiologist,medium,відчуваю що високий тиск 150 на 90 крутиться голова
"Сильно турбує те, що печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,сильно турбує те що печія після жирної їжі легка гіркота в роті
"Підкажіть, що робити, якщо раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,підкажіть що робити якщо раптова гостра алергічна реакція все тіло вкрилося плямами
"У мого родича сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,у мого родича сильна носова кровотеча яка йде вже півгодини
"Допоможіть, втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,допоможіть втрата голосу сильний гавкаючий кашель і біль у горлі
"Допоможіть, сильно болить горло, важко ковтати їжу",therapist,medium,допоможіть сильно болить горло важко ковтати їжу
"Сильно турбує те, що кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,сильно турбує те що кривава блювота або чорний стілець гострий спазм
"Раптово почалося: страшна мігрень, таблетки не допомагають",neurologist,medium,раптово почалося страшна мігрень таблетки не допомагають
"Підкажіть, що робити, якщо відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,підкажіть що робити якщо відняло ліву ногу сильне оніміння половини тіла
"Сильно турбує те, що стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,сильно турбує те що стороннє тіло у дихальних шляхах дитина задихається
"Скажіть, будь ласка, чому діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,скажіть будь ласка чому діабетична криза втрата свідомості різкий запах ацетону
"У мого родича підозра на пупкову грижу, випинання болить",surgeon,medium,у мого родича підозра на пупкову грижу випинання болить
"Підкажіть, що робити, якщо легке запаморочення при різкому підйомі",neurologist,low,підкажіть що робити якщо легке запаморочення при різкому підйомі
"Відчуваю, що ломить суглоби, застудився під кондиціонером",therapist,medium,відчуваю що ломить суглоби застудився під кондиціонером
"У мого родича нагноєння старої подряпини, легкий набряк",surgeon,low,у мого родича нагноєння старої подряпини легкий набряк
"Скажіть, будь ласка, чому червона висипка на тілі, яка сильно чешеться",dermatologist,medium,скажіть будь ласка чому червона висипка на тілі яка сильно чешеться
"У мого родича помітив кров у сечі, сильний біль у ділянці паху",urologist,high,у мого родича помітив кров у сечі сильний біль у ділянці паху
"Сильно турбує те, що раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,сильно турбує те що раптово зник зір на одному оці гострий біль всередині
У мене в око потрапила хімічна речовина або залізна стружка,ophthalmologist,high,у мене в око потрапила хімічна речовина або залізна стружка
"Сильно турбує те, що легке запаморочення при різкому підйомі",neurologist,low,сильно турбує те що легке запаморочення при різкому підйомі
"Сильно турбує те, що у сина болить вушко, плаче і тримається за голову",pediatrician,medium,сильно турбує те що у сина болить вушко плаче і тримається за голову
"Скажіть, будь ласка, чому періодично закладає одне вухо після басейну",otolaryngologist,low,скажіть будь ласка чому періодично закладає одне вухо після басейну
"Раптово почалося: стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,раптово почалося стріляє в спині защемило нерв не можу розігнутися
"У мене нагноєння старої подряпини, легкий набряк",surgeon,low,у мене нагноєння старої подряпини легкий набряк
"Допоможіть, запалення сечового міхура, цистит, дискомфорт",urologist,medium,допоможіть запалення сечового міхура цистит дискомфорт
"У мого родича пече в грудях, гострий біль за грудиною",cardiologist,high,у мого родича пече в грудях гострий біль за грудиною
"Раптово почалося: прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,раптово почалося прискорене серцебиття пульс 110 в стані спокою
"Підкажіть, що робити, якщо сухість в очах, відчуття піску під повіками",ophthalmologist,low,підкажіть що робити якщо сухість в очах відчуття піску під повіками
"Сильно болить горло, важко ковтати їжу",therapist,medium,сильно болить горло важко ковтати їжу
"Сильно турбує те, що сильно набряк палець, пульсує і виділяється гній",surgeon,medium,сильно турбує те що сильно набряк палець пульсує і виділяється гній
У мого родича періодичний ниючий біль у ділянці попереку,urologist,low,у мого родича періодичний ниючий біль у ділянці попереку
"Вже кілька днів пече в грудях, гострий біль за грудиною",cardiologist,high,вже кілька днів пече в грудях гострий біль за грудиною
"Печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,печія після жирної їжі легка гіркота в роті
"У мого родича підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,у мого родича підозра на апендицит блювота живіт як дошка твердий
"Сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,сильний удар ліктя рука опухла і посиніла
"Невелика гуля на спині, жировик під шкірою",surgeon,low,невелика гуля на спині жировик під шкірою
У мого родича першіння в горлі та легкий нежить,therapist,low,у мого родича першіння в горлі та легкий нежить
"У мого родича сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,у мого родича сильний набряк повіки вискочив великий ячмінь
"Вже кілька днів очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,вже кілька днів очі почервоніли закисають зранку виділяється гній
"Сильно турбує те, що око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,сильно турбує те що око сильно сльозиться і пече лопнули капіляри
"Допоможіть, дитині потрібен плановий огляд та довідка в садочок",pediatrician,low,допоможіть дитині потрібен плановий огляд та довідка в садочок
"Допоможіть, кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,допоможіть кривава блювота або чорний стілець гострий спазм
"Скажіть, будь ласка, чому підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,скажіть будь ласка чому підвернув ногу є невеликий набряк але ходити можу
"Підкажіть, що робити, якщо температура 38.5, кашель і озноб",therapist,medium,підкажіть що робити якщо температура 38 5 кашель і озноб
"Скажіть, будь ласка, чому сухість рук та тріщини на пальцях",dermatologist,low,скажіть будь ласка чому сухість рук та тріщини на пальцях
"Скажіть, будь ласка, чому періодично німіють мізинці на руках",neurologist,low,скажіть будь ласка чому періодично німіють мізинці на руках
"Раптово почалося: раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,раптово почалося раптово зник зір на одному оці гострий біль всередині
Періодично закладає одне вухо після басейну,otolaryngologist,low,періодично закладає одне вухо після басейну
"Допоможіть, стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,допоможіть стороннє тіло у дихальних шляхах дитина задихається
"Скажіть, будь ласка, чому швидко втомлююся, постійна сонливість без причини",endocrinologist,low,скажіть будь ласка чому швидко втомлююся постійна сонливість без причини
"Раптово почалося: тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,раптово почалося тисне серце біль віддає в ліву руку та щелепу
"Допоможіть, постійний шум у вухах і темніє в очах",neurologist,medium,допоможіть постійний шум у вухах і темніє в очах
"Підкажіть, що робити, якщо болить плече або м'язи після тренування в залі",traumatologist,low,підкажіть що робити якщо болить плече або м язи після тренування в залі
"Допоможіть, першіння в горлі та легкий нежить",therapist,low,допоможіть першіння в горлі та легкий нежить
"Допоможіть, прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,допоможіть прискорене серцебиття пульс 110 в стані спокою
"Вже кілька днів невелика гуля на спині, жировик під шкірою",surgeon,low,вже кілька днів невелика гуля на спині жировик під шкірою
"Скажіть, будь ласка, чому ниючий біль у шиї після роботи за комп'ютером",neurologist,low,скажіть будь ласка чому ниючий біль у шиї після роботи за комп ютером
"Раптово почалося: першіння в носоглотці, сухість у носі",otolaryngologist,low,раптово почалося першіння в носоглотці сухість у носі
"Скажіть, будь ласка, чому запалення сечового міхура, цистит, дискомфорт",urologist,medium,скажіть будь ласка чому запалення сечового міхура цистит дискомфорт
"Червона висипка на тілі, яка сильно чешеться",dermatologist,medium,червона висипка на тілі яка сильно чешеться
"Скажіть, будь ласка, чому високий тиск 150 на 90, крутиться голова",cardiologist,medium,скажіть будь ласка чому високий тиск 150 на 90 крутиться голова
"Вже кілька днів стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,вже кілька днів стріляє у вусі заклало ніс болять пазухи
З'явилася лупа та свербіж голови,dermatologist,low,з явилася лупа та свербіж голови
"У мене стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,у мене стріляє в спині защемило нерв не можу розігнутися
"У мене діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,у мене діабетична криза втрата свідомості різкий запах ацетону
"Ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,ангіна білий наліт на мигдаликах важко ковтати
"Сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,сильна носова кровотеча яка йде вже півгодини
Раптово почалося: пропав нюх через хронічний нежить,otolaryngologist,low,раптово почалося пропав нюх через хронічний нежить
"У мене помітив кров у сечі, сильний біль у ділянці паху",urologist,high,у мене помітив кров у сечі сильний біль у ділянці паху
"Допоможіть, нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,допоможіть нудота після їжі кисла відрижка вже кілька днів
"Раптово почалося: гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,раптово почалося гостра затримка сечі нестерпний біль ниркова коліка
"Скажіть, будь ласка, чому ломить суглоби, застудився під кондиціонером",therapist,medium,скажіть будь ласка чому ломить суглоби застудився під кондиціонером
"Вже кілька днів діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,вже кілька днів діабетична криза втрата свідомості різкий запах ацетону
"Допоможіть, тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,допоможіть тисне серце біль віддає в ліву руку та щелепу
"Підкажіть, що робити, якщо сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,підкажіть що робити якщо сильна носова кровотеча яка йде вже півгодини
У мене сухість рук та тріщини на пальцях,dermatologist,low,у мене сухість рук та тріщини на пальцях
"Відчуваю, що першіння в горлі та легкий нежить",therapist,low,відчуваю що першіння в горлі та легкий нежить
"У мене нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,у мене нудота після їжі кисла відрижка вже кілька днів
"Підкажіть, що робити, якщо ломить суглоби, застудився під кондиціонером",therapist,medium,підкажіть що робити якщо ломить суглоби застудився під кондиціонером
"У мене біль у нирках, підвищилася температура до 38",urologist,medium,у мене біль у нирках підвищилася температура до 38
"У мого родича різко почало випадати волосся, нігті ламаються",endocrinologist,low,у мого родича різко почало випадати волосся нігті ламаються
"Скажіть, будь ласка, чому нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,скажіть будь ласка чому нудота після їжі кисла відрижка вже кілька днів
"Скажіть, будь ласка, чому пропав нюх через хронічний нежить",otolaryngologist,low,скажіть будь ласка чому пропав нюх через хронічний нежить
Важкість у шлунку та постійне здуття живота,gastroenterologist,low,важкість у шлунку та постійне здуття живота
"Сильно турбує те, що постійний шум у вухах і темніє в очах",neurologist,medium,сильно турбує те що постійний шум у вухах і темніє в очах
"Допоможіть, почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,допоможіть почав гірше бачити текст вдалині розмиваються літери
"Скажіть, будь ласка, чому раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,скажіть будь ласка чому раптова гостра алергічна реакція все тіло вкрилося плямами
"Відчуваю, що постійна втома, немає сил зранку",therapist,low,відчуваю що постійна втома немає сил зранку
"Відчуваю, що сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,відчуваю що сильне серцебиття тремтять руки постійно жарко
"Допоможіть, у донечки висип по всьому тілу, схоже на вітрянку",pediatrician,medium,допоможіть у донечки висип по всьому тілу схоже на вітрянку
"Вже кілька днів різі при сечовипусканні, тягне внизу живота",urologist,medium,вже кілька днів різі при сечовипусканні тягне внизу живота
"Раптово почалося: підозра на пупкову грижу, випинання болить",surgeon,medium,раптово почалося підозра на пупкову грижу випинання болить
"У мого родича раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,у мого родича раптова гостра алергічна реакція все тіло вкрилося плямами
"Допоможіть, температура 38.5, кашель і озноб",therapist,medium,допоможіть температура 38 5 кашель і озноб
"Відчуваю, що запалення сечового міхура, цистит, дискомфорт",urologist,medium,відчуваю що запалення сечового міхура цистит дискомфорт
"Раптово почалося: запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,раптово почалося запалився лімфовузол під пахвою боляче торкатися
"У мого родича дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,у мого родича дитина задихається від гавкаючого кашлю синіють губи
"Підкажіть, що робити, якщо запалення сечового міхура, цистит, дискомфорт",urologist,medium,підкажіть що робити якщо запалення сечового міхура цистит дискомфорт
"Підкажіть, що робити, якщо різко почало випадати волосся, нігті ламаються",endocrinologist,low,підкажіть що робити якщо різко почало випадати волосся нігті ламаються
"Сильно турбує те, що втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,сильно турбує те що втрата голосу сильний гавкаючий кашель і біль у горлі
"Раптово почалося: червона висипка на тілі, яка сильно чешеться",dermatologist,medium,раптово почалося червона висипка на тілі яка сильно чешеться
"Сильно турбує те, що діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,сильно турбує те що діабетична криза втрата свідомості різкий запах ацетону
"У мене різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,у мене різко набрав вагу хоча дієта не змінювалася
"Сильно турбує те, що болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,сильно турбує те що болить шлунок натщесерце ниючий біль під ребрами
"Біль у нирках, підвищилася температура до 38",urologist,medium,біль у нирках підвищилася температура до 38
"Допоможіть, біль у нирках, підвищилася температура до 38",urologist,medium,допоможіть біль у нирках підвищилася температура до 38
"У мого родича підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,у мого родича підвернув ногу є невеликий набряк але ходити можу
"У мого родича запалення сечового міхура, цистит, дискомфорт",urologist,medium,у мого родича запалення сечового міхура цистит дискомфорт
Вже кілька днів дуже лущиться шкіра на обличчі,dermatologist,low,вже кілька днів дуже лущиться шкіра на обличчі
"Стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,стріляє у вусі заклало ніс болять пазухи
"Вже кілька днів тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,вже кілька днів тисне серце біль віддає в ліву руку та щелепу
Пропав нюх через хронічний нежить,otolaryngologist,low,пропав нюх через хронічний нежить
"Відчуваю, що швидко втомлюються очі під час роботи за монітором",ophthalmologist,low,відчуваю що швидко втомлюються очі під час роботи за монітором
"Відчуваю, що сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,відчуваю що сильний набряк повіки вискочив великий ячмінь
"У мене високий тиск 150 на 90, крутиться голова",cardiologist,medium,у мене високий тиск 150 на 90 крутиться голова
"Відчуваю, що раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,відчуваю що раптова гостра алергічна реакція все тіло вкрилося плямами
"Відчуваю, що пропав нюх через хронічний нежить",otolaryngologist,low,відчуваю що пропав нюх через хронічний нежить
"Сильно турбує те, що скаче пульс після кави або чаю",cardiologist,low,сильно турбує те що скаче пульс після кави або чаю
"У мене у дитини кашель, соплі, але температури немає",pediatrician,medium,у мене у дитини кашель соплі але температури немає
"У мого родича малюк погано спить, капризує під час годування",pediatrician,low,у мого родича малюк погано спить капризує під час годування
"Відчуваю, що сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,відчуваю що сильний удар ліктя рука опухла і посиніла
"У мого родича високий тиск 150 на 90, крутиться голова",cardiologist,medium,у мого родича високий тиск 150 на 90 крутиться голова
"Сильно турбує те, що сильно болить горло, важко ковтати їжу",therapist,medium,сильно турбує те що сильно болить горло важко ковтати їжу
"У мене тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,у мене тисне серце біль віддає в ліву руку та щелепу
"Сильно турбує те, що дитині потрібен плановий огляд та довідка в садочок",pediatrician,low,сильно турбує те що дитині потрібен плановий огляд та довідка в садочок
"Відчуваю, що часті походи в туалет, але без болю",urologist,low,відчуваю що часті походи в туалет але без болю
"Допоможіть, стара родимка змінила форму та потемніла",dermatologist,medium,допоможіть стара родимка змінила форму та потемніла
"Скажіть, будь ласка, чому різі при сечовипусканні, тягне внизу живота",urologist,medium,скажіть будь ласка чому різі при сечовипусканні тягне внизу живота
"Скажіть, будь ласка, чому почав гірше бачити текст вдалині, розмиваються літери",ophthalmologist,low,скажіть будь ласка чому почав гірше бачити текст вдалині розмиваються літери
"Підкажіть, що робити, якщо температура 37.2 і загальна слабкість",therapist,low,підкажіть що робити якщо температура 37 2 і загальна слабкість
"Раптово почалося: запалення сечового міхура, цистит, дискомфорт",urologist,medium,раптово почалося запалення сечового міхура цистит дискомфорт
"Відчуваю, що температура 38.5, кашель і озноб",therapist,medium,відчуваю що температура 38 5 кашель і озноб
"Вже кілька днів у немовляти температура 39, не збивається нурофеном",pediatrician,high,вже кілька днів у немовляти температура 39 не збивається нурофеном
"Сильно турбує те, що ниючий біль у шиї після роботи за комп'ютером",neurologist,low,сильно турбує те що ниючий біль у шиї після роботи за комп ютером
"Сильно турбує те, що стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,сильно турбує те що стріляє в спині защемило нерв не можу розігнутися
"У мого родича постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,у мого родича постійна спрага п ю дуже багато води сухо в роті
"У мене підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,у мене підвернув ногу є невеликий набряк але ходити можу
"Сильно турбує те, що періодично закладає одне вухо після басейну",otolaryngologist,low,сильно турбує те що періодично закладає одне вухо після басейну
"Допоможіть, стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,допоможіть стріляє у вусі заклало ніс болять пазухи
"Допоможіть, ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,допоможіть ангіна білий наліт на мигдаликах важко ковтати
Вже кілька днів легке запаморочення при різкому підйомі,neurologist,low,вже кілька днів легке запаморочення при різкому підйомі
"Глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,глибокий поріз склом сильна кровотеча не зупиняється
"Допоможіть, ниючий біль у попереку, важко нахилятися",neurologist,medium,допоможіть ниючий біль у попереку важко нахилятися
"Раптово почалося: малюк погано спить, капризує під час годування",pediatrician,low,раптово почалося малюк погано спить капризує під час годування
"Тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,тисне серце біль віддає в ліву руку та щелепу
"Очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,очі почервоніли закисають зранку виділяється гній
"Першіння в носоглотці, сухість у носі",otolaryngologist,low,першіння в носоглотці сухість у носі
"Сильно турбує те, що сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,сильно турбує те що сильне серцебиття тремтять руки постійно жарко
Болить плече або м'язи після тренування в залі,traumatologist,low,болить плече або м язи після тренування в залі
"Допоможіть, око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,допоможіть око сильно сльозиться і пече лопнули капіляри
"Підкажіть, що робити, якщо важкість у шлунку та постійне здуття живота",gastroenterologist,low,підкажіть що робити якщо важкість у шлунку та постійне здуття живота
"Допоможіть, пече в грудях, гострий біль за грудиною",cardiologist,high,допоможіть пече в грудях гострий біль за грудиною
"Відчуваю, що пече в грудях, гострий біль за грудиною",cardiologist,high,відчуваю що пече в грудях гострий біль за грудиною
"Підкажіть, що робити, якщо ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,підкажіть що робити якщо ангіна білий наліт на мигдаликах важко ковтати
Вже кілька днів профілактичний огляд чоловічого здоров'я,urologist,low,вже кілька днів профілактичний огляд чоловічого здоров я
"Раптово почалося: сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,раптово почалося сильна носова кровотеча яка йде вже півгодини
